,기관 명,송신 서버 번호,데이터 번호,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자
0,서울시,32,1,SDOT001,2992,00Original,2992,171,202104182340,2021-04-19 00:00:13
1,서울시,32,1,SDOT001,4041,00Original,4041,7,202104180000,2021-04-19 00:00:18
2,서울시,32,1,SDOT001,2993,00Original,2993,188,202104182340,2021-04-19 00:00:19
3,서울시,32,1,SDOT001,4027,00Original,4027,11,202104180000,2021-04-19 00:00:21
4,서울시,32,1,SDOT001,4031,00Original,4031,0,202104180000,2021-04-19 00:00:23
5,서울시,32,1,SDOT001,2997,00Original,2997,174,202104182340,2021-04-19 00:00:24
6,서울시,32,1,SDOT001,2998,00Original,2998,158,202104182340,2021-04-19 00:00:31
7,서울시,32,1,SDOT001,3005,00Original,3005,168,202104182340,2021-04-19 00:00:46
8,서울시,32,1,SDOT001,2995,00Original,2995,135,202104182340,2021-04-19 00:01:16
9,서울시,32,1,SDOT001,2996,00Original,2996,128,202104182340,2021-04-19 00:01:17
10,서울시,32,1,SDOT001,2997,00Original,2997,174,202104182340,2021-04-19 00:01:17
11,서울시,32,1,SDOT001,4039,00Original,4039,0,202104180000,2021-04-19 00:01:18
12,서울시,32,1,SDOT001,4012,00Original,4012,0,202104180000,2021-04-19 00:01:20
13,서울시,32,1,SDOT001,2998,00Original,2998,158,202104182340,2021-04-19 00:01:20
14,서울시,32,1,SDOT001,2999,00Original,2999,135,202104182340,2021-04-19 00:01:20
15,서울시,32,1,SDOT001,3000,00Original,3000,178,202104182340,2021-04-19 00:01:24
16,서울시,32,1,SDOT001,3001,00Original,3001,123,202104182340,2021-04-19 00:01:24
17,서울시,32,1,SDOT001,3002,00Original,3002,126,202104182340,2021-04-19 00:01:24
18,서울시,32,1,SDOT001,3003,00Original,3003,185,202104182340,2021-04-19 00:01:27
19,서울시,32,1,SDOT001,3004,00Original,3004,174,202104182340,2021-04-19 00:01:27
20,서울시,32,1,SDOT001,3005,00Original,3005,168,202104182340,2021-04-19 00:01:29
21,서울시,32,1,SDOT001,3006,00Original,3006,143,202104182340,2021-04-19 00:01:30
22,서울시,32,1,SDOT001,3007,00Original,3007,213,202104182340,2021-04-19 00:01:33
23,서울시,32,1,SDOT001,3023,00Original,3023,189,202104182340,2021-04-19 00:02:11
