"기관 명","송신 서버 번호","데이터 번호","모델명","시리얼","서버타입","사이트명","방문자수","날짜","등록일자"
"서울시","32","1","SDOT001","4027","00Original","0000004027","10","202109260000","2021-09-27 00:00:03"
"서울시","32","1","SDOT001","4033","00Original","0000004033","2","202109260000","2021-09-27 00:00:07"
"서울시","32","1","SDOT001","4041","00Original","0000004041","0","202109260000","2021-09-27 00:00:12"
"서울시","32","1","SDOT001","4015","00Original","0000004015","3","202109260000","2021-09-27 00:00:16"
"서울시","32","1","SDOT001","4031","00Original","0000004031","5","202109260000","2021-09-27 00:00:21"
"서울시","32","1","SDOT001","4046","00Original","0000004046","1","202109260000","2021-09-27 00:00:27"
"서울시","32","1","SDOT001","4036","00Original","0000004036","4","202109260000","2021-09-27 00:00:30"
"서울시","32","1","SDOT001","4023","00Original","0000004023","0","202109260000","2021-09-27 00:00:30"
"서울시","32","1","SDOT001","4017","00Original","0000004017","3","202109260000","2021-09-27 00:00:31"
"서울시","32","1","SDOT001","4045","00Original","0000004045","0","202109260000","2021-09-27 00:00:36"
"서울시","32","1","SDOT001","4019","00Original","0000004019","13","202109260000","2021-09-27 00:00:40"
"서울시","32","1","SDOT001","4001","00Original","0000004001","3","202109260000","2021-09-27 00:00:45"
"서울시","32","1","SDOT001","4006","00Original","0000004006","0","202109260000","2021-09-27 00:00:45"
"서울시","32","1","SDOT001","4043","00Original","0000004043","0","202109260000","2021-09-27 00:00:50"
"서울시","32","1","SDOT001","4038","00Original","0000004038","0","202109260000","2021-09-27 00:00:54"
"서울시","32","1","SDOT001","4008","00Original","0000004008","3","202109260000","2021-09-27 00:01:00"
"서울시","32","1","SDOT001","2992","00Original","0000002992","150","202109262340","2021-09-27 00:01:09"
"서울시","32","1","SDOT001","2994","00Original","0000002994","108","202109262340","2021-09-27 00:01:10"
"서울시","32","1","SDOT001","2993","00Original","0000002993","153","202109262340","2021-09-27 00:01:10"
"서울시","32","1","SDOT001","2996","00Original","0000002996","98","202109262340","2021-09-27 00:01:11"
"서울시","32","1","SDOT001","2995","00Original","0000002995","119","202109262340","2021-09-27 00:01:11"
"서울시","32","1","SDOT001","2998","00Original","0000002998","131","202109262340","2021-09-27 00:01:12"
"서울시","32","1","SDOT001","2997","00Original","0000002997","93","202109262340","2021-09-27 00:01:12"
"서울시","32","1","SDOT001","3001","00Original","0000003001","114","202109262340","2021-09-27 00:01:13"
"서울시","32","1","SDOT001","3000","00Original","0000003000","157","202109262340","2021-09-27 00:01:13"
"서울시","32","1","SDOT001","2999","00Original","0000002999","98","202109262340","2021-09-27 00:01:13"
"서울시","32","1","SDOT001","3003","00Original","0000003003","147","202109262340","2021-09-27 00:01:14"
"서울시","32","1","SDOT001","3002","00Original","0000003002","94","202109262340","2021-09-27 00:01:14"
"서울시","32","1","SDOT001","4039","00Original","0000004039","1","202109260000","2021-09-27 00:01:14"
"서울시","32","1","SDOT001","3006","00Original","0000003006","132","202109262340","2021-09-27 00:01:15"
"서울시","32","1","SDOT001","3005","00Original","0000003005","142","202109262340","2021-09-27 00:01:15"
"서울시","32","1","SDOT001","3004","00Original","0000003004","161","202109262340","2021-09-27 00:01:15"
"서울시","32","1","SDOT001","3009","00Original","0000003009","0","202109262340","2021-09-27 00:01:16"
"서울시","32","1","SDOT001","3008","00Original","0000003008","127","202109262340","2021-09-27 00:01:16"
"서울시","32","1","SDOT001","3007","00Original","0000003007","190","202109262340","2021-09-27 00:01:16"
"서울시","32","1","SDOT001","3011","00Original","0000003011","124","202109262340","2021-09-27 00:01:17"
"서울시","32","1","SDOT001","3010","00Original","0000003010","129","202109262340","2021-09-27 00:01:17"
"서울시","32","1","SDOT001","3014","00Original","0000003014","119","202109262340","2021-09-27 00:01:18"
"서울시","32","1","SDOT001","3013","00Original","0000003013","127","202109262340","2021-09-27 00:01:18"
"서울시","32","1","SDOT001","3012","00Original","0000003012","56","202109262340","2021-09-27 00:01:18"
"서울시","32","1","SDOT001","3017","00Original","0000003017","146","202109262340","2021-09-27 00:01:19"
"서울시","32","1","SDOT001","3016","00Original","0000003016","178","202109262340","2021-09-27 00:01:19"
"서울시","32","1","SDOT001","3015","00Original","0000003015","120","202109262340","2021-09-27 00:01:19"
"서울시","32","1","SDOT001","3019","00Original","0000003019","145","202109262340","2021-09-27 00:01:20"
"서울시","32","1","SDOT001","3018","00Original","0000003018","93","202109262340","2021-09-27 00:01:20"
"서울시","32","1","SDOT001","3022","00Original","0000003022","132","202109262340","2021-09-27 00:01:21"
"서울시","32","1","SDOT001","3021","00Original","0000003021","126","202109262340","2021-09-27 00:01:21"
"서울시","32","1","SDOT001","3020","00Original","0000003020","272","202109262340","2021-09-27 00:01:21"
"서울시","32","1","SDOT001","3025","00Original","0000003025","159","202109262340","2021-09-27 00:01:22"
"서울시","32","1","SDOT001","3024","00Original","0000003024","142","202109262340","2021-09-27 00:01:22"
"서울시","32","1","SDOT001","3023","00Original","0000003023","168","202109262340","2021-09-27 00:01:22"
"서울시","32","1","SDOT001","3028","00Original","0000003028","156","202109262340","2021-09-27 00:01:23"
"서울시","32","1","SDOT001","3027","00Original","0000003027","107","202109262340","2021-09-27 00:01:23"
"서울시","32","1","SDOT001","3026","00Original","0000003026","59","202109262340","2021-09-27 00:01:23"
"서울시","32","1","SDOT001","3031","00Original","0000003031","142","202109262340","2021-09-27 00:01:24"
"서울시","32","1","SDOT001","3030","00Original","0000003030","162","202109262340","2021-09-27 00:01:24"
"서울시","32","1","SDOT001","3029","00Original","0000003029","48","202109262340","2021-09-27 00:01:24"
"서울시","32","1","SDOT001","3034","00Original","0000003034","272","202109262340","2021-09-27 00:01:25"
"서울시","32","1","SDOT001","3033","00Original","0000003033","103","202109262340","2021-09-27 00:01:25"
"서울시","32","1","SDOT001","3032","00Original","0000003032","102","202109262340","2021-09-27 00:01:25"
"서울시","32","1","SDOT001","3036","00Original","0000003036","181","202109262340","2021-09-27 00:01:26"
"서울시","32","1","SDOT001","3035","00Original","0000003035","158","202109262340","2021-09-27 00:01:26"
"서울시","32","1","SDOT001","3039","00Original","0000003039","139","202109262340","2021-09-27 00:01:27"
"서울시","32","1","SDOT001","3038","00Original","0000003038","133","202109262340","2021-09-27 00:01:27"
"서울시","32","1","SDOT001","3037","00Original","0000003037","86","202109262340","2021-09-27 00:01:27"
"서울시","32","1","SDOT001","3041","00Original","0000003041","148","202109262340","2021-09-27 00:01:28"
"서울시","32","1","SDOT001","3040","00Original","0000003040","168","202109262340","2021-09-27 00:01:28"
"서울시","32","1","SDOT001","4049","00Original","0000004049","1","202109260000","2021-09-27 00:02:21"
"서울시","32","1","SDOT001","4005","00Original","0000004005","10","202109260000","2021-09-27 00:02:27"
"서울시","32","1","SDOT001","4026","00Original","0000004026","3","202109260000","2021-09-27 00:02:35"
"서울시","32","1","SDOT001","4003","00Original","0000004003","12","202109260000","2021-09-27 00:02:54"
"서울시","32","1","SDOT001","4022","00Original","0000004022","5","202109260000","2021-09-27 00:03:47"
"서울시","32","1","SDOT001","4032","00Original","0000004032","10","202109260000","2021-09-27 00:04:11"
"서울시","32","1","SDOT001","4048","00Original","0000004048","11","202109260000","2021-09-27 00:04:12"
"서울시","32","1","SDOT001","4034","00Original","0000004034","13","202109260000","2021-09-27 00:05:33"
"서울시","32","1","SDOT001","4010","00Original","0000004010","7","202109260000","2021-09-27 00:05:47"
"서울시","32","1","SDOT001","4016","00Original","0000004016","16","202109260000","2021-09-27 00:05:52"
"서울시","32","1","SDOT001","4018","00Original","0000004018","4","202109260000","2021-09-27 00:05:52"
