"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20211014","우이신설선","4.19민주묘지","3031","2866","20211017"
"20211014","경원선","가능","6752","6488","20211017"
"20211014","8호선","가락시장","7349","8182","20211017"
"20211014","3호선","가락시장","8522","8378","20211017"
"20211014","7호선","가산디지털단지","45880","45921","20211017"
"20211014","경부선","가산디지털단지","18081","21287","20211017"
"20211014","9호선","가양","20413","20020","20211017"
"20211014","우이신설선","가오리","4184","4164","20211017"
"20211014","경의선","가좌","5304","4995","20211017"
"20211014","분당선","가천대","8416","9313","20211017"
"20211014","경춘선","가평","2047","2045","20211017"
"20211014","경인선","간석","5933","5781","20211017"
"20211014","경춘선","갈매","3217","2730","20211017"
"20211014","2호선","강남","77110","75528","20211017"
"20211014","분당선","강남구청","9624","11110","20211017"
"20211014","7호선","강남구청","16181","17838","20211017"
"20211014","5호선","강동","18196","17430","20211017"
"20211014","8호선","강동구청","10095","10591","20211017"
"20211014","경의선","강매","3253","2793","20211017"
"20211014","2호선","강변(동서울터미널)","28676","27709","20211017"
"20211014","5호선","강일","3687","3669","20211017"
"20211014","경춘선","강촌","612","600","20211017"
"20211014","5호선","개롱","6758","6921","20211017"
"20211014","경인선","개봉","21459","21385","20211017"
"20211014","분당선","개포동","3824","3943","20211017"
"20211014","9호선","개화","2762","1947","20211017"
"20211014","5호선","개화산","5499","5332","20211017"
"20211014","5호선","거여","9047","8650","20211017"
"20211014","7호선","건대입구","11091","11248","20211017"
"20211014","2호선","건대입구","30479","32756","20211017"
"20211014","공항철도 1호선","검암","6657","6623","20211017"
"20211014","경강선","경기광주","7296","6863","20211017"
"20211014","과천선","경마공원","1328","1249","20211017"
"20211014","3호선","경복궁(정부서울청사)","19038","18808","20211017"
"20211014","3호선","경찰병원","7350","7362","20211017"
"20211014","공항철도 1호선","계양","9783","9181","20211017"
"20211014","5호선","고덕","9635","9474","20211017"
"20211014","6호선","고려대(종암)","7402","7148","20211017"
"20211014","수인선","고색","4303","4117","20211017"
"20211014","7호선","고속터미널","14782","12818","20211017"
"20211014","3호선","고속터미널","35559","34443","20211017"
"20211014","9호선","고속터미널","11486","14134","20211017"
"20211014","안산선","고잔","8899","8482","20211017"
"20211014","경의선","곡산","599","659","20211017"
"20211014","경강선","곤지암","2367","2315","20211017"
"20211014","6호선","공덕","17937","17335","20211017"
"20211014","경의선","공덕","3428","3233","20211017"
"20211014","5호선","공덕","13882","14751","20211017"
