,스마트 서울 도시데이터 센서(S-DoT) 유동인구 측정 위치 정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,작성일 : 21. 6. 14.,
1,순번,시리얼번호,사이트명,자치구,주소,구분,높이,위도,경도
2,1,OC3CL200010,4024,서울대공원,경기도 과천시 대공원광장로 102,유동인구,3.5,37.428771637,127.016073851
3,2,OC3CL200011,4025,서울대공원,경기도 과천시 대공원광장로 102,유동인구,4,37.422013068,127.024265831
4,3,OC3CL200012,4019,광진구,서울특별시 광진구 화양동 34-75,유동인구,4,37.544001939,127.069731265
5,4,OC3CL200013,4040,종로구,서울특별시 종로구 삼청동 35-63,유동인구,3,37.583469424,126.982622417
6,5,OC3CL200014,4043,중구,서울특별시 중구 명동1가 53-1,유동인구,3.3,37.563573682,126.984503781
7,6,OC3CL200015,4005,강남구,서울특별시 강남구 신사동 532-12,유동인구,3.4,37.523384113,127.022414809
8,7,OC3CL200016,4007,강남구,서울특별시 강남구 신사동 657-37,유동인구,3.8,37.525888672,127.039125808
9,8,OC3CL200017,4008,강동구,서울특별시 강동구 성내동 448-8,유동인구,4.5,37.524110749,127.128668752
10,9,OC3CL200018,4032,성동구,서울특별시 성동구 성수동1가 685-285,유동인구,3.6,37.546881978,127.04164275
11,10,OC3CL200019,4035,용산구,서울특별시  용산구 이태원동 239-4,유동인구,3.2,37.540264418,126.99379344
12,11,OC3CL200020,4001,강남구,서울특별시 강남구 역삼동 814-6,유동인구,3.3,37.501274013,127.026376835
13,12,OC3CL200021,4002,강남구,서울특별시 강남구 신사동 581-6,유동인구,4.5,37.525532427,127.028229493
14,13,OC3CL200022,4003,강남구,서울특별시 강남구 대치동 889-45,유동인구,3.7,37.503091994,127.049875547
15,14,OC3CL200023,4004,강남구,서울특별시 강남구 대치동 890-57,유동인구,3.7,37.503596523,127.051592237
16,15,OC3CL200024,4006,강남구,서울특별시 강남구 신사동 541-17,유동인구,3.4,37.518392422,127.023422644
17,16,OC3CL200025,4014,강서구,서울특별시 강서구 마곡동 727-709,유동인구,3.8,37.560034405,126.825875874
18,17,OC3CL200026,4015,강서구,서울특별시 강서구 마곡동 367-11,유동인구,3.9,37.566680943,126.82612171
19,18,OC3CL200027,4016,강서구,서울특별시 강서구 마곡동 727-1214,유동인구,3.9,37.559042184,126.836083293
20,19,OC3CL200028,4018,관악구,서울특별시 관악구 봉천동 1603-4,유동인구,3.3,37.479154221,126.953709724
21,20,OC3CL200029,4020,광진구,서울특별시 광진구 구의동 246-8,유동인구,4.5,37.537680253,127.085212501
22,21,OC3CL200030,4021,도봉구,서울특별시 도봉구 창동 57-11,유동인구,3.5,37.645831436,127.050389987
23,22,OC3CL200031,4023,서대문구,서울특별시  서대문구 홍제동 286-27,유동인구,3,37.598221127,126.949036914
24,23,OC3CL200032,4031,성동구,서울특별시  성동구 성수동1가 685-700,유동인구,3.7,37.545296254,127.043557089
25,24,OC3CL200033,4033,송파구,서울특별시 송파구 신천동 32,유동인구,3.8,37.512142753,127.104315392
26,25,OC3CL200034,4034,양천구,서울특별시 양천구 신정동 994-1,유동인구,4,37.525918058,126.863558081
27,26,OC3CL200035,4036,은평구,서울특별시 은평구 갈현동 465-3,유동인구,3.4,37.611303604,126.917501985
28,27,OC3CL200036,4037,은평구,서울특별시 은평구 녹번동 153-46 ,유동인구,2.4,37.605145748,126.923577165
29,28,OC3CL200037,4038,종로구,서울특별시 종로구 가회동 60,유동인구,4,37.581429974,126.984646839
30,29,OC3CL200038,4039,종로구,서울특별시 종로구 가회동 33-13,유동인구,3.3,37.582331071,126.983559012
