"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-005","뚝섬4주차장","708","68086","2021/10"
"PLT-007","양화2주차장","834","69036","2021/10"
"PLT-007","양화2주차장","1019","83361","2021/10"
"PLT-003","망원23주차장","11415","1112191","2021/10"
"PLT-007","양화1주차장","3928","390477","2021/10"
"PLT-009","반포23주차장","31194","2242237","2021/10"
"PLT-003","망원23주차장","8723","854110","2021/10"
"PLT-006","광나루12주차장","7850","587083","2021/10"
"PLT-010","잠원1-6주차장","32344","2821488","2021/10"
"PLT-010","잠원1-6주차장","54595","4739376","2021/10"
"PLT-006","광나루12주차장","13538","1003423","2021/10"
"PLT-003","망원23주차장","14821","1435347","2021/10"
"PLT-009","반포23주차장","39567","2803013","2021/10"
"PLT-005","뚝섬1주차장","2174","196282","2021/10"
"PLT-008","여의도3주차장","18928","4306052","2021/10"
"PLT-009","반포23주차장","34223","2431140","2021/10"
"PLT-003","망원23주차장","9574","924278","2021/10"
"PLT-006","광나루12주차장","8473","628577","2021/10"
"PLT-002","난지123주차장","15437","1076435","2021/10"
"PLT-009","반포23주차장","50384","3563024","2021/10"
"PLT-004","이촌34주차장","9020","738333","2021/10"
"PLT-001","강서1주차장","1244","96381","2021/10"
"PLT-007","양화345주차장","15796","1357357","2021/10"
"PLT-003","망원1주차장","2461","181172","2021/10"
"PLT-008","여의도2주차장","7922","870738","2021/10"
"PLT-003","망원23주차장","10737","1042587","2021/10"
"PLT-003","망원23주차장","6552","647943","2021/10"
"PLT-010","잠원1-6주차장","45596","3987742","2021/10"
"PLT-008","여의도1주차장","25299","2586180","2021/10"
"PLT-006","광나루3주차장","5158","309332","2021/10"
"PLT-004","이촌1주차장","651","42027","2021/10"
"PLT-010","잠원1-6주차장","35540","3059236","2021/10"
"PLT-002","난지123주차장","8593","712319","2021/10"
"PLT-009","반포23주차장","37335","2644331","2021/10"
"PLT-008","여의도3주차장","15830","3511247","2021/10"
"PLT-005","뚝섬2주차장","15254","1630062","2021/10"
"PLT-008","여의도1주차장","54853","5537932","2021/10"
"PLT-005","뚝섬1주차장","1667","163768","2021/10"
"PLT-008","여의도2주차장","9917","1218609","2021/10"
"PLT-008","여의도5주차장","2391","583143","2021/10"
"PLT-003","망원1주차장","6585","496974","2021/10"
"PLT-004","이촌1주차장","1246","82089","2021/10"
"PLT-001","강서1주차장","3227","224492","2021/10"
"PLT-010","잠원1-6주차장","27128","2413696","2021/10"
"PLT-006","광나루12주차장","6638","495461","2021/10"
"PLT-009","반포23주차장","45131","3223196","2021/10"
"PLT-003","망원23주차장","12986","1265667","2021/10"
"PLT-005","뚝섬2주차장","14305","1547145","2021/10"
"PLT-005","뚝섬2주차장","6900","765821","2021/10"
"PLT-007","양화1주차장","2281","233966","2021/10"
"PLT-007","양화1주차장","5212","518552","2021/10"
"PLT-005","뚝섬4주차장","7827","699715","2021/10"
"PLT-008","여의도5주차장","2992","735585","2021/10"
"PLT-007","양화2주차장","1301","102211","2021/10"
"PLT-007","양화345주차장","13303","1132141","2021/10"
"PLT-008","여의도4주차장","1548","386669","2021/10"
"PLT-009","반포1주차장","10071","692370","2021/10"
"PLT-008","여의도3주차장","12383","2564585","2021/10"
"PLT-005","뚝섬4주차장","4096","393555","2021/10"
"PLT-008","여의도3주차장","13324","2659892","2021/10"
"PLT-008","여의도5주차장","1430","323314","2021/10"
"PLT-008","여의도4주차장","1767","463401","2021/10"
"PLT-004","이촌1주차장","1505","102215","2021/10"
"PLT-008","여의도4주차장","1478","380218","2021/10"
"PLT-005","뚝섬3주차장","4703","410048","2021/10"
"PLT-007","양화345주차장","14084","1202620","2021/10"
"PLT-007","양화2주차장","374","33649","2021/10"
"PLT-007","양화1주차장","1337","121616","2021/10"
"PLT-005","뚝섬2주차장","4528","499190","2021/10"
"PLT-004","이촌2주차장","1772","141222","2021/10"
"PLT-007","양화345주차장","11688","995001","2021/10"
